chinese_name,english_name
国立国家公共工程学院,ENTPE: National School of Public Works
国立地理科学学院,National School of Geographic Sciences
国立工艺学院,National Conservatory of Arts and Crafts
国立文献学院,National School of Charters
国立核科技学院,INSTN: National Institute for Nuclear Science and Technology
国立民用航空学院,ENAC: French Civil Aviation University
国立经济与统计学院集团国立信息统计与分析学院,ENSAI: National School for Statistics and Information Analysis
国立经济与统计学院集团国立统计与经济管理学院,Group of National Schools of Economics and Statistics - National School of Statistics and Economic Administration
国立路桥学院,École des Ponts ParisTech
国立高等先进技术学院,ENSTA Paris
国立高等工业与企业计算机学院,National Graduate School of Computer Science for Industry and Business
国立高等工业创意学院,ENSCI - Les Ateliers
国立高等工艺学院,Arts et Métiers ParisTech
国立高等应用艺术与工艺学院,National School of Applied Arts and Crafts
国立高等摄影学院,National School of Photography
国立高等机械与微技术学院,ENSMM: National School of Mechanics and Microtechnology
国立高等电子及电子应用学院,ENSEA: Graduate School of Electrical Engineering
国立高等电工技术、电子、信息、水力与电信学院,"INP Toulouse-National School of Electrical Engineering, Electronics, Computer Science, Hydraulics and Telecommunications"
国立高等石油与发动机学院,IFP School
国立高等纺织工艺学院,ENSAIT: National Graduate School of Textile Engineering
国立高等装饰艺术学院,National School of Decorative Arts
国际关系与战略学院,IRIS: Institute for International and Strategic Relations
国际奢侈品市场营销学院,EIML Paris
国际空间大学,International Space University
图卢兹国立应用科学学院,INSA Toulouse
图卢兹国立综合理工学院,Toulouse INP
图卢兹国立高等农艺学院,INP-ENSAT
图卢兹国立高等化学工艺与技术工程师学院,ENSIACET
图卢兹国立高等建筑学院,ENSA Toulouse
图卢兹大学,University of Toulouse
图卢兹政治学院,Sciences Po Toulouse
图卢兹第一大学,Toulouse 1 Capitole University
图卢兹第三大学,Paul Sabatier University - Toulouse III
图卢兹第二大学,University of Toulouse - Jean Jaurès
图卢兹高等商学院,Toulouse Business School
图卢兹高等美术与表演学院,EESAB: School of Fine Arts and Performing Arts of Toulouse
图卢兹高等艺术与设计学院,ISDAT: Higher Institute of Arts and Design of Toulouse
图卢兹高等艺术学院,isdaT: Higher Institute of Arts of Toulouse
图尔-昂热-勒芒艺术与设计高等学院,TALM School of Art and Design
图尔大学,University of Tours
图尔大学综合理工学院,Polytech Tours
图尔昂热勒芒高等美术学院,ESBA TALM
土伦-普罗旺斯-地中海高等艺术与设计学院,ESAD TPM
土伦大学,University of Toulon
圣太田国立高等建筑学院,National School of Architecture of Saint-Etienne
圣太田国立高等矿业学院,IMT Mines Saint-Etienne
圣太田大学,Jean Monnet University
圣太田大学圣太田电信学院,Télécom Saint-Etienne
圣太田大学圣太田高等技术学院,University of Saint-Étienne
圣太田高等商业学院,ESC Saint-Etienne Business School
圣太田高等艺术与设计学院,Graduate School of Art and Design Saint-Étienne
圣日耳曼昂莱政治学院,IEP Saint-Germain-en-Laye
埃夫里大学,University of Évry Val d'Essonne
埃米尔·科尔学院,École Emile Cohl
塔布国立工程师学院,ENI Tarbes
塞吉巴黎大学,CY Cergy Paris University
塞吉巴黎大学理工学院,CY Tech Graduate School of Engineering
塞吉－蓬图瓦兹大学,University of Cergy-Pontoise
夏庞蒂埃学院,Charpentier Academy
大巴黎塞纳圣丹尼高等音乐教育中心,Pôle Sup'93
大西洋矿业与电信学院集团,IMT Atlantique
奥尔良大学,University of Orléans
奥尔良大学综合理工学院,"Polytech Orléans, University of Orléans"
奥尔良高等艺术与设计学院,Orléans Higher School of Art and Design
孔岱学院,Condé School
安地列斯大学,University of the French Antilles
安纳西高等艺术学院,Annecy Higher School of Art
宜世高等精神运动与康复学院,ISRP: Higher Institute of Psychomotor Rehabilitation and Psychosomatic Relaxation
尚贝里大学综合理工学院,Polytech Annecy-Chambéry
尼姆大学,University of Nîmes
尼姆高等美术学院,Nîmes Higher School of Fine Arts
