chinese_name,english_name
诚信女子大学,Sungshin Women's University
车医科学大学,CHA University
金乌工科大学,Kumoh National Institute of Technology
金刚大学,Keumkang University
金浦大学,Kimpo University
釜山加图立大学,Busan Catholic University
釜山外国语大学,Busan University of Foreign Studies
釜山大学,Pusan National University
釜山科学技术大学,Busan Institute of Science and Technology
釜山经商大学,Busan Kyungsang University
长安大学,Jangan University
长老会神学大学,Presbyterian University and Theological Seminary
青云大学,Chungwoon University
韩世大学,Hanse University
韩东大学,Handong Global University
韩京国立大学,Hankyong National University
韩信大学,Hanshin University
韩南大学,Hannam University
韩国传统文化大学,Korea National University of Cultural Heritage
韩国体育大学,Korea National Sport University
韩国圣书大学,Korea Christian University
韩国外国语大学,Hankuk University of Foreign Studies
韩国学中央研究院韩国学研究生院,Academy of Korean Studies
韩国工学大学,Korea University of Technology and Education
韩国开发研究院公共政策与管理学院,KDI School of Public Policy and Management
韩国技术教育大学,Korea University of Technology and Education
韩国教员大学,Korea National University of Education
韩国映像大学,Korea National University of Media and Arts
韩国浸礼神学大学,Korea Baptist Theological University/Seminary
韩国理工II大学,Korea Polytechnic II University
韩国理工I大学,Korea Polytechnic I University
韩国理工VII大学,Korea Polytechnic VII College
韩国理工Ⅳ大学,Korea Polytechnic IV University
韩国科学技术院,Korea Advanced Institute of Science and Technology (KAIST)
韩国航空大学,Korea Aerospace University
韩国艺术综合学校,Korea National University of Arts
韩国高尔夫大学,Korea Golf University
韩瑞大学,Hanseo University
顺天乡大学,Soonchunhyang University
顺天第一大学,Sunchon First College
顺天青岩大学,Suncheon Cheongam College
首尔基督大学,Seoul Christian University
首尔外国语大学院大学,HUFS University of Foreign Studies
首尔大学,Seoul National University
首尔女子大学,Seoul Women's University
首尔媒体大学院大学,Seoul School of Integrated Sciences and Technologies
首尔市立大学,University of Seoul
首尔教育大学,Seoul National University of Education
首尔神学大学,Seoul Theological University
首尔科学技术大学,Seoul National University of Science and Technology
首尔科学综合大学院大学,aSSIST University
首尔艺术大学,Seoul Institute of the Arts
首尔风险大学院大学,Seoul Venture University
首都国际大学院大学,Korea National University of International Studies
马山大学,Masan University
骊州大学,Yeoju University
高丽大学,Korea University
高神大学,Kosin University
龙仁大学,Yongin University
龙仁松潭大学,Yongin Songdam College
龟尾大学,Gumi University
