chinese_name,english_name
亚太学院,Asia Pacific College
亚洲社会研究院,Asian Social Institute
中正学院,Chiang Kai Shek College
泽维尔大学,Xavier University
中部菲律宾国立大学,Central Philippines State University
中央大学,Centro Escolar University
中菲律宾基督复临学院,Central Philippine Adventist College
中部菲律宾大学,Central Philippine University
中吕宋国立大学,Central Luzon State University
中途海事基金会,Midway Maritime Foundation
中棉兰老大学,Central Mindanao University
