chinese_name,english_name
BLM集团非洲高等通信学院,GROUPE BLM ISACOM: African Higher Institute of Communication
费利克斯-乌弗埃-博瓦尼大学,Félix Houphouët-Boigny University
洛科高等技术大学,LOKO Tertiary and Technological University
