chinese_name,english_name
北卡罗莱纳大学威明顿分校,The University of North Carolina at Wilmington
北卡罗莱纳大学教堂山分校,The University of North Carolina at Chapel Hill
巴特学院,Butte College
巴布森学院,Babson College
波莫纳学院,Pomona College
宾夕法尼亚美术学院,Pennsylvania Academy of the Fine Arts
贝茨学院,Bates College
贝勒大学,Baylor University
鲍灵格林州立大学,Bowling Green State University
北达科他大学,University of North Dakota
北西雅图社区学院,North Seattle Community College
北美大学（弗吉尼亚州）,University of North America
北方中央大学,Northcentral University
波音特洛马拿撒勒大学,Point Loma Nazarene University
北卡罗莱纳大学格林斯博罗分校,The University of North Carolina at Greensboro
波士顿学院,Boston College
贝尔蒙特大学,Belmont University
布拉佐斯波特学院,Brazosport College
巴德学院,Bard College
北卡罗莱纳州立大学,North Carolina State University
北美大学（德克萨斯州）,North American University
北佐治亚大学,University of North Georgia
北卡罗莱纳卫斯理学院,North Carolina Wesleyan College
布里奇沃特学院,Bridgewater college
贝尔维尤大学,Bellevue University
北部中心学院,North Central College
宾夕法尼亚克拉里恩大学,Clarion University of Pennsylvania
宾夕法尼亚联邦大学,Commonwealth University of Pennsylvania
宾夕法尼亚联邦大学曼斯菲尔德大学,Mansfield University  Commonwealth University of Pennsylvania
巴德学院西蒙洛克巴德学院,Bard College at Simon's Rock  Bard College
宾夕法尼亚滑石大学,Slippery Rock University of Pennsylvania
鲍登学院,Bowdoin College
北园大学,North Park University
北德克萨斯大学沃思堡健康科学中心,University of North Texas Health Science Center at Fort Worth
本德海岸学院,Coastal Bend College
北卡罗莱纳农工州立大学,North Carolina A&T State University
北亚利桑那大学,Northern Arizona University
北伊利诺伊大学,Northern Illinois University
北西雅图学院,North Seattle College
贝尔维尤学院,Bellevue College
班尼迪克大学,Benedictine University
宾夕法尼亚洛克黑文大学,Lock Haven University of Pennsylvania
北佛罗里达大学,University of North Florida
巴尔的摩大学,The University of Baltimore
伯克利音乐学院,Berklee College of Music
北卡罗莱纳大学夏洛特分校,The University of North Carolina at Charlotte
北密歇根大学,Northern Michigan University
波士顿建筑学院,The Boston Architectural College
北爱达荷学院,North Idaho College
贝里学院,Berry College
巴顿学院,Barton College
北卡罗莱纳大学彭布罗克分校,The University of North Carolina at Pembroke
布鲁克林法学院,Brooklyn Law School
卑尔根社区学院,Bergen Community College
贝宁顿学院,Bennington College
鲍德温华莱士大学,Baldwin Wallace University
贝克大学,Baker University
波特兰大学,University of Portland
贝塞斯达大学,Bethesda University
布劳沃德学院,Broward College
柴恩大学,Trine University
查普林学院,Champlain College
查普曼大学,Chapman University
查尔斯顿学院,The College of Charleston
查尔斯河德鲁医学和科学大学,Charles R. Drew University of Medicine and Science
Chi大学,Chi University
常春藤技术社区学院,Ivy Tech Community College
查塔努加州立社区学院,Chattanooga State Community College
查德隆州立学院,Chadron State College
常青州立学院,The Evergreen State College
创意研究学院,College for Creative Studies
春田学院,Springfield College
查尔斯顿大学,University of Charleston
查塔姆大学,Chatham University
德克萨斯大学阿灵顿分校,The University of Texas at Arlington
德克萨斯大学埃尔帕索分校,The University of Texas at El Paso
迪拉徳大学,Dillard University
达拉斯浸会大学,Dallas Baptist University
东海岸理工大学,ECPI University
迪吉彭理工学院,DigiPen Institute of Technology
德克萨斯大学帕米亚盆地分校,The University of Texas Permian Basin
达科他卫斯理大学,Dakota Wesleyan University
