chinese_name,english_name
国立大学,National University
荷台达大学,Hodeidah University
科技大学,University of Science and Technology
萨那大学,Sana'a University
塔伊兹大学,Taiz University
亚丁大学,University of Aden
伊卜大学,Ibb University
扎马尔大学,Thamar University
