chinese_name,english_name
恩布大学,University of Embu
基西大学,Kisii University
肯尼亚多媒体大学,Multimedia University of Kenya
肯雅塔大学,Kenyatta University
里亚拉大学,Riara University
马查科斯大学,Machakos University
莫伊大学,Moi University
美国国际大学,United States International University
内罗毕大学,University of Nairobi
乔莫肯雅塔农业与技术大学,Jomo Kenyatta University of Agriculture and Technology
斯特拉斯莫尔大学,Strathmore University
