chinese_name,english_name
埃尔比勒萨拉哈丁大学,Salahaddin University-Erbil
巴格达大学,University of Baghdad
杜霍克大学,University of Duhok
库尔德斯坦埃尔比勒大学,University of Kurdistan Hewler
穆斯坦西里亚大学,Mustansiriyah University
