chinese_name,english_name
俄罗斯科学院国家与法研究所,Institute of State and Law of the Russian Academy of Sciences
俄罗斯科学院圣彼得堡信息与自动化研究所,St. Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences
俄罗斯科学院圣彼得堡联邦研究中心,Saint Petersburg Federal Research Center of the Russian Academy of Sciences
俄罗斯科学院地理研究所,Institute of Geography of the Russian Academy of Sciences
俄罗斯科学院基础与无机化学研究所,Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences
俄罗斯科学院基础物理研究所,Prokhorov General Physics Institute of the Russian Academy of Sciences
俄罗斯科学院应用数学研究所,Keldysh Institute of Applied Mathematics of the Russian Academy of Sciences
俄罗斯科学院彼得大帝人类学与民族学博物馆,Peter the Great Museum of Anthropology and Ethnography (Kunstkamera) of the Russian Academy of Sciences
俄罗斯科学院数学研究所,Steklov Mathematical Institute of the Russian Academy of Sciences
俄罗斯科学院斯拉夫学研究所,Institute of Slavic Studies of the Russian Academy of Sciences
俄罗斯科学院有机化学研究所,Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences
俄罗斯科学院核研究所,Institute for Nuclear Research of the Russian Academy of Sciences
俄罗斯科学院激光与信息技术研究所,Institute on Laser and Information Technologies of the Russian Academy of Sciences
俄罗斯科学院物理技术研究所,Ioffe Institute
俄罗斯科学院理论与实验生物物理研究所,Institute of Theoretical and Experimental Biophysics of the Russian Academy of Sciences
俄罗斯科学院电物理与电力工程研究所,Institute of Electrophysics and Electric Power of the Russian Academy of Sciences
俄罗斯科学院细胞学研究所,Institute of Cytology of the Russian Academy of Sciences
俄罗斯科学院经济研究所,Institute of Economics of the Russian Academy of Sciences
俄罗斯科学院自动化设计研究所,Institute of Automation Design of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院伊尔库茨克化学研究所,Favorsky Irkutsk Institute of Chemistry of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院伊尔库茨克科学中心,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院冻土研究所,Melnikov Permafrost Institute SB RAS
俄罗斯科学院西伯利亚分院劳动红旗勋章日地物理研究所,Institute of Solar-Terrestrial Physics of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院化学生物学与基础医学研究所,Institute of Chemical Biology and Fundamental Medicine SB RAS
俄罗斯科学院西伯利亚分院固体化学与机械化学研究所,Institute of Solid State Chemistry and Mechanochemistry of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院大气光学研究所,V.E. Zuev Institute of Atmospheric Optics SB RAS
俄罗斯科学院西伯利亚分院强度物理与材料学研究所,Institute of Strength Physics and Materials Science of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院新西伯利亚有机化学研究所,Vorozhtsov Novosibirsk Institute of Organic Chemistry of the Siberian Branch of the Russian Academy of Sciences
