chinese_name,english_name,website,province,city
康凯师范学院,Khangkhay Teacher Training College,,,
老挝国立大学,National University of Laos,,,
老挝苏州大学,Lao Soochow University,,,
万象河内友谊技术职业学院,Vientiane-Hanoi Friendship Technical-Vocational College,,,
