chinese_name,english_name
斯图加特国立造型艺术学院,State Academy of Fine Arts Stuttgart
斯图加特国立音乐与表演艺术学院,Stuttgart State University of Music and Performing Arts
斯图加特大学,University of Stuttgart
斯图加特媒体学院,Stuttgart Media University
斯图加特工程应用技术大学,Stuttgart University of Applied Sciences
斯图加特自由应用技术大学,Free University of Stuttgart
斯图加特设计、艺术与媒体学院,Merz Academy Stuttgart
新乌尔姆应用技术大学,Neu-Ulm University of Applied Sciences
新勃兰登堡应用技术大学,Neubrandenburg University of Applied Sciences
施特拉尔松德应用技术大学,Stralsund University of Applied Sciences
施瓦本格明德教育学院,Schwäbisch Gmünd University of Education
施瓦本格明德设计学院,Schwäbisch Gmünd University of Design
施马卡尔登应用技术大学,Schmalkalden University of Applied Sciences
明斯特大学,University of Münster
明斯特应用技术大学,Münster University of Applied Sciences
明斯特艺术学院,Münster School of Art
普福尔茨海姆应用技术大学,Pforzheim University
曼海姆大学,University of Mannheim
曼海姆应用技术大学,Mannheim University of Applied Sciences
杜伊斯堡-埃森大学,University of Duisburg-Essen
杜塞尔多夫大学,Heinrich Heine University Düsseldorf
杜塞尔多夫应用技术大学,Düsseldorf University of Applied Sciences
杜塞尔多夫罗伯特-舒曼音乐学院,Robert Schumann University of Music Düsseldorf
杜塞尔多夫艺术学院,Düsseldorf Art Academy
柏林bbw应用技术大学,bbw University of Applied Sciences
柏林国际应用技术大学,Berlin International University of Applied Sciences
柏林夏立特医学院,Charité – University Medicine Berlin
柏林媒体应用技术大学,MU Media University of Applied Sciences
柏林媒体设计与计算机应用技术大学,Mediadesign University of Applied Sciences
柏林工业大学,Technical University of Berlin
柏林工程与经济应用技术大学,Berlin University of Applied Sciences for Engineering and Economics
柏林工程应用技术大学,Berlin University of Applied Sciences
柏林巴德学院——欧洲人文科学学院,Bard College Berlin  A Liberal Arts University
柏林斯泰恩拜斯应用技术大学,Steinbeis University Berlin
柏林欧洲管理与技术学院,ESMT Berlin
柏林欧洲经济学院,ESCP Business School Berlin
柏林洪堡大学,Humboldt University of Berlin
柏林白湖艺术学院,Weissensee Academy of Art Berlin
柏林经济与法律应用技术大学,Berlin School of Economics and Law
