chinese_name,english_name
鲁尔克拉国家技术学院,National Institute of Technology Rourkela
拉贾斯坦邦贾纳丹·赖·纳加尔维迪亚佩斯学院,Janardan Rai Nagar Rajasthan Vidyapeeth University
罗摩克里希那传道会维韦卡南达教育与研究学院,Ramakrishna Mission Vivekananda Educational and Research Institute
拉吉夫甘地健康科学大学,Rajiv Gandhi University of Health Sciences
拉吉夫甘地科技大学,Rajiv Gandhi Prodoyogiki Vishwavidyalaya
拉贾斯坦大学,University of Rajasthan
勒克瑙大学,University of Lucknow
拉姆马诺洛西亚阿瓦德博士土邦大学,Dr. Ram Manohar Lohia Awadh University
罗宾德拉纳特泰戈尔大学（前身为AISECT大学）,Rabindranath Tagore University (formerly known as AISECT University)
拉雅拉西马大学,Rayalaseema University
拉夫里专业大学,Lovely Professional University
罗塔克马哈希达亚南德大学,Maharshi Dayanand University  Rohtak
马尼帕尔大学,Manipal University
马格特大学,Magadh University
梅加拉亚国家技术学院,National Institute of Technology Meghalaya
马拉维亚国家理工学院,Malaviya National Institute of Technology
毛拉纳阿扎德理工学院,Maulana Azad National Institute of Technology
门格洛尔大学,Mangalore University
玛克恩拉尔杰杜尔韦蒂国立新闻与传播大学,Makhanlal Chaturvedi National University of Journalism & Communication
孟买大学,University of Mumbai
马杜赖卡马拉杰大学,Madurai Kamaraj University
默诺默尼耶姆孙德尔纳尔大学,Manonmaniam Sundaranar University
M.J.P.罗希尔汉德大学,M.J.P. Rohilkhand University
毛拉那阿扎德国家乌尔都大学,Maulana Azad National Urdu University
米佐拉姆大学,Mizoram University
密拉特乔杜里·查兰·辛格大学,Chaudhary Charan Singh University  Meerut
米佐拉姆国家技术学院,National Institute of Technology Mizoram
马德拉斯大学,University of Madras
迈索尔大学,University of Mysore
梅沃尔大学,Mewar University
马尼帕尔高等教育学院,Manipal Academy of Higher Education
马哈尔希达亚南德萨拉斯瓦蒂大学,Maharshi Dayanand Saraswati University  Ajmer
那格浦尔维斯瓦拉亚国家技术学院,Visvesvaraya National Institute of Technology  Nagpur
那加兰邦国家技术学院,National Institute of Technology Nagaland
纳兰达学院,Nalanda College  Biharsharif
女王杜尔加瓦蒂大学,Rani Durgavati Vishwavidyalaya
尼赫鲁科技大学,Jawaharlal Nehru Technological University
尼赫鲁高级科学研究中心,Jawaharlal Nehru Centre For Advanced Scientific Research
尼赫鲁大学,Jawaharlal Nehru University
尼尔玛大学,Nirma University
尼赫鲁科技大学阿嫩达布尔,Jawaharlal Nehru Technological University Anantapur
那格浦尔大学,Nagpur University
O.P.金达尔全球学院,O.P. Jindal Global University
帕蒂亚拉塔帕尔工程技术学院,Thapar Institute of Engineering and Technology  Patiala
普纳帕拉蒂维迪雅皮斯学院,Bharati Vidyapeeth
普纳高级技术国防学院,Defence Institute of Advanced Technology  Pune
旁遮普农业大学,Punjab Agricultural University
旁遮普技术大学,Punjab Technical University
Pt拉维申格尔舒格拉大学,Pt. Ravishankar Shukla University
旁遮普大学,Panjab University
旁遮普中央大学,Central University of Punjab
佩里亚大学,Periyar University
乔特里瑟尔文库玛尔喜马偕尔邦农业大学,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya
圣雄甘地大学,Mahatama Gandhi University
苏拉特萨达尔瓦拉布哈伊国家技术学院,Sardar Vallabhbhai National Institute of Technology  Surat
萨巴马蒂大学,Sabarmati University
